"Ws Extensions","Estensioni WS"
"Customer","Cliente"
"Additional Information","Informazioni aggiuntive"
"I want to register as","Voglio registrarmi come"
"Show Terms and Conditions","Mostra Termini e Condizioni"
"Select groups to enable in new customer account form","Seleziona i gruppi cliente da mostrare nella scelta del form"
"Show Group","Mostra gruppo"
"Customer account registration form","Form di registrazione di un nuovo account"
"Rule to show","Regola da mostrare"
"Insert number of Terms and Conditions to show","Inserisci il numero della posizione presa dall'elenco di Terms and Conditions"
